States,X_cor,Y_cor
Andhra Pradesh,-57,-133
Arunachal Pradesh,195,89
Assam,168,49
Bihar,55,42
Chhattisgarh,-12,-33
Goa,-135,-125
Gujarat,-174,-1
Haryana,-96,99
Himachal Pradesh,-82,146
Jharkhand,42,4
Karnataka,-106,-140
Kerala,-96,-204
Madhya Pradesh,-65,-1
Maharashtra,-111,-58
Manipur,182,21
Meghalaya,146,37
Mizoram,166,2
Nagaland,194,46
Odisha,34,-46
Punjab,-111,125
Rajasthan,-134,59
Sikkim,96,72
Tamil Nadu,-67,-200
Telangana,-57,-86
Tripura,147,8
Uttarakhand,-53,117
Uttar Pradesh,-24,60
West Bengal,84,-3
Andaman And Nicobar Islands,167,-172
Chandigarh,-92,128
,,
,,
Daman And Diu ,-153,-50
Delhi,-85,88
Jammu And Kashmir,-108,191
Ladakh,-73,193
Lakshadweep,-163,-196
Puducherry,-43,-180
